name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region
Asia Jaya,KJ21,Rapid KL,3.104343,101.637695,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Taman Paramount,KJ22,Rapid KL,3.104716,101.623192,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Taman Bahagia,KJ23,Rapid KL,3.11079,101.612856,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Kelana Jaya,KJ24,Rapid KL,3.112497,101.6043,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Lembah Subang,KJ25,Rapid KL,3.112094,101.591034,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Ara Damansara,KJ26,Rapid KL,3.108452,101.586644,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Glenmarie,KJ27,Rapid KL,3.095902,101.590474,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Subang Jaya,KJ28,Rapid KL,3.084862,101.58724,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
SS15,KJ29,Rapid KL,3.075895,101.586027,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Wangsa Maju,KJ3,Rapid KL,3.205751,101.731796,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
SS18,KJ30,Rapid KL,3.066939,101.586167,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
USJ7,KJ31,Rapid KL,3.055025,101.591907,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Taipan,KJ32,Rapid KL,3.047826,101.590201,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Wawasan,KJ33,Rapid KL,3.034969,101.588194,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
USJ21,KJ34,Rapid KL,3.029735,101.581854,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Alam Megah,KJ35,Rapid KL,3.023151,101.572029,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Subang Alam,KJ36,Rapid KL,3.01007,101.57208,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Putra Heights,KJ37,Rapid KL,2.996227,101.575462,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Sri Rampai,KJ4,Rapid KL,3.199176,101.73747,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Setiawangsa,KJ5,Rapid KL,3.17576,101.73584,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Jelatek,KJ6,Rapid KL,3.167204,101.735344,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Dato' Keramat,KJ7,Rapid KL,3.16509,101.73184,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Damai,KJ8,Rapid KL,3.164406,101.724489,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
Ampang Park,KJ9,Rapid KL,3.159894,101.719017,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley
KL Sentral,KE1,Express Rail Link,3.132675,101.687891,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley
Kuala Lumpur International Airport,KE2,Express Rail Link,2.7549259,101.7048248,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley
KLIA2,KE3,Express Rail Link,2.7445694,101.685081,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley
KL Sentral,KT1,Express Rail Link,3.132675,101.687891,KT,KLIA Transit,7,Teal,#139593,Klang Valley
Bandar Tasik Selatan,KT2,Express Rail Link,3.076067,101.711311,KT,KLIA Transit,7,Teal,#139593,Klang Valley
Putrajaya & Cyberjaya,KT3,Express Rail Link,2.9314193,101.6708369,KT,KLIA Transit,7,Teal,#139593,Klang Valley
Salak Tinggi,KT4,Express Rail Link,2.8257973,101.7133911,KT,KLIA Transit,7,Teal,#139593,Klang Valley
Kuala Lumpur International Airport,KT5,Express Rail Link,2.7549259,101.7048248,KT,KLIA Transit,7,Teal,#139593,Klang Valley
KLIA2,KT6,Express Rail Link,2.7445694,101.685081,KT,KLIA Transit,7,Teal,#139593,Klang Valley
KL Sentral,MR1,Rapid KL,3.132675,101.687891,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Chow Kit,MR10,Rapid KL,3.167394,101.698385,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Titiwangsa,MR11,Rapid KL,3.173204,101.695964,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Tun Sambanthan,MR2,Rapid KL,3.131452,101.690862,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Maharajalela,MR3,Rapid KL,3.138948,101.699203,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Hang Tuah,MR4,Rapid KL,3.140681,101.706037,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Imbi,MR5,Rapid KL,3.142812,101.709447,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Bukit Bintang,MR6,Rapid KL,3.146077,101.711499,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Raja Chulan,MR7,Rapid KL,3.150837,101.710442,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Bukit Nanas,MR8,Rapid KL,3.156244,101.704766,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Medan Tuanku,MR9,Rapid KL,3.159271,101.6989,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley
Kwasa Damansara,KG04,Rapid KL,3.17615,101.57205,KG,Kajang Line,9,Green,#008000,Klang Valley
Kwasa Sentral,KG05,Rapid KL,3.169826,101.564913,KG,Kajang Line,9,Green,#008000,Klang Valley
Kota Damansara,KG06,Rapid KL,3.15013,101.57869,KG,Kajang Line,9,Green,#008000,Klang Valley
Surian,KG07,Rapid KL,3.14948,101.59392,KG,Kajang Line,9,Green,#008000,Klang Valley
Mutiara Damansara,KG08,Rapid KL,3.1553,101.60908,KG,Kajang Line,9,Green,#008000,Klang Valley
Bandar Utama,KG09,Rapid KL,3.146504,101.618798,KG,Kajang Line,9,Green,#008000,Klang Valley
TTDI,KG10,Rapid KL,3.13613,101.63054,KG,Kajang Line,9,Green,#008000,Klang Valley
Phileo Damansara,KG12,Rapid KL,3.129037,101.643153,KG,Kajang Line,9,Green,#008000,Klang Valley
Pusat Bandar Damansara,KG13,Rapid KL,3.143323,101.662374,KG,Kajang Line,9,Green,#008000,Klang Valley
Semantan,KG14,Rapid KL,3.150982,101.665292,KG,Kajang Line,9,Green,#008000,Klang Valley
Muzium Negara,KG15,Rapid KL,3.13732,101.68734,KG,Kajang Line,9,Green,#008000,Klang Valley
Pasar Seni,KG16,Rapid KL,3.14229,101.69556,KG,Kajang Line,9,Green,#008000,Klang Valley
Merdeka,KG17,Rapid KL,3.14197,101.70205,KG,Kajang Line,9,Green,#008000,Klang Valley
Bukit Bintang,KG18A,Rapid KL,3.1465,101.71095,KG,Kajang Line,9,Green,#008000,Klang Valley
Tun Razak Exchange,KG20,Rapid KL,3.1424,101.72016,KG,Kajang Line,9,Green,#008000,Klang Valley
Cochrane,KG21,Rapid KL,3.13283,101.72296,KG,Kajang Line,9,Green,#008000,Klang Valley
Maluri,KG22,Rapid KL,3.12362,101.72781,KG,Kajang Line,9,Green,#008000,Klang Valley
